Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     64.91     0.00    43150     0.00     0.00  HashLine::accumulate_data(int)
  0.00     64.91     0.00    33768     0.00     0.00  bsoncxx::v_noabi::document::value bsoncxx::v_noabi::builder::basic::make_document<std::tuple<char const (&) [5], char const (&) [17]>, std::tuple<char const (&) [12], long&&>, std::tuple<char const (&) [21], long&&>, std::tuple<char const (&) [21], long&&> >(std::tuple<char const (&) [5], char const (&) [17]>&&, std::tuple<char const (&) [12], long&&>&&, std::tuple<char const (&) [21], long&&>&&, std::tuple<char const (&) [21], long&&>&&)
  0.00     64.91     0.00    25545     0.00     0.00  GlobalCounters::get_total_writers()
  0.00     64.91     0.00    25545     0.00     0.00  HashPad::miss_routine(HashRequest*)
  0.00     64.91     0.00    25545     0.00     0.00  HashPad::evict_hash_line(long long)
  0.00     64.91     0.00    25545     0.00     0.00  HashLine::HashLine(long long, int, long long)
  0.00     64.91     0.00    18264     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >, std::less<long long>, std::allocator<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, std::__cxx11::list<MemRequest*, std::allocator<MemRequest*> > > >*)
  0.00     64.91     0.00    15388     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, HashLine*>, std::_Select1st<std::pair<long long const, HashLine*> >, std::less<long long>, std::allocator<std::pair<long long const, HashLine*> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, HashLine*> >*)
  0.00     64.91     0.00    15388     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, long long>, std::_Select1st<std::pair<long long const, long long> >, std::less<long long>, std::allocator<std::pair<long long const, long long> > >::_M_erase(std::_Rb_tree_node<std::pair<long long const, long long> >*)
  0.00     64.91     0.00    14350     0.00     0.00  HashPad::custom_constructor(unsigned long, long long)
  0.00     64.91     0.00    14350     0.00     0.00  HashPad::HashPad()
  0.00     64.91     0.00    14350     0.00     0.00  HashPad::~HashPad()
  0.00     64.91     0.00    14350     0.00     0.00  std::_Rb_tree<long long, std::pair<long long const, HashPad*>, std::_Select1st<std::pair<long long const, HashPad*> >, std::less<long long>, std::allocator<std::pair<long long const, HashPad*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long long const, HashPad*> >, long long const&)
  0.00     64.91     0.00     8064     0.00     0.00  NeuraMem::interval_metrics()
  0.00     64.91     0.00     8064     0.00     0.00  NeuraCore::interval_metrics()
